query_id,query,response,faithfulness,answer_relevancy,context_precision,context_recall,overall_score,latency_ms,strategy_used,success
q1,What is the Eiffel Tower?,"The Eiffel Tower is a wrought-iron lattice tower located on the Champ de Mars in Paris, France [1]. It is a famous iron lattice tower and a landmark in Paris, France [2]. The tower was constructed fro...",1.0000,1.0000,1.0000,1.0000,1.0000,234.97,vector,True
q2,How does photosynthesis work?,"According to the context, photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy [1, 2]. This process involves the conversion of carbon dioxide and...",1.0000,0.5000,1.0000,1.0000,0.8750,137.87,vector,True
q3,What is machine learning?,"Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed [1, 2]. It involves the development of computer pr...",0.8500,1.0000,1.0000,1.0000,0.9625,1362.86,vector,True
q4,What are COVID-19 symptoms?,"According to the context, common COVID-19 symptoms include fever, cough, fatigue, breathing difficulties, loss of smell, and loss of taste [1]. These symptoms may begin to appear anywhere from one to ...",1.0000,1.0000,0.7500,1.0000,0.9375,142.73,vector,True
q5,What services does AWS provide?,"According to the context, AWS provides on-demand cloud computing platforms and APIs to individuals, companies, and governments on a metered pay-as-you-go basis [1]. Additionally, it is mentioned that ...",1.0000,0.9000,1.0000,1.0000,0.9750,1202.53,graph,True
q6,Where is the Great Barrier Reef located?,"The Great Barrier Reef is located in the Coral Sea, off the coast of Queensland, Australia [1]. It stretches over an area of approximately 344,400 square kilometres, covering a vast distance of over 2...",1.0000,1.0000,1.0000,1.0000,1.0000,376.94,graph,True
q7,What is quantum computing?,"Quantum computing is a type of computation that utilizes the collective properties of quantum states, such as superposition, interference, and entanglement, to perform calculations [1]. It is a type o...",1.0000,1.0000,1.0000,1.0000,1.0000,169.34,vector,True
q8,How many neurons are in the human brain?,"The human brain contains approximately 86 billion neurons. This information is supported by two sources: [1] and [2], both of which state that there are approximately 86 billion neurons in the human b...",0.5000,1.0000,0.6667,1.0000,0.7917,165.56,vector,True
q9,What causes climate change?,"According to the context, climate change is caused by long-term shifts in temperatures and weather patterns, which may be natural, but since the 1800s, human activities have been the main driver of cl...",0.8500,1.0000,1.0000,1.0000,0.9625,147.11,vector,True
q10,What is DNA made of?,"DNA is made up of four chemical bases: adenine (A), guanine (G), cytosine (C), and thymine (T) [1]. These chemical bases are the fundamental components that store the information in DNA as a code. 

F...",1.0000,0.9000,1.0000,1.0000,0.9750,183.35,vector,True
q11,What is the Internet?,The Internet is a global system of interconnected computer networks that uses the Internet protocol suite (TCP/IP) to communicate between networks and devices [1]. It is a network of networks that con...,0.8500,1.0000,1.0000,1.0000,0.9625,237.35,vector,True
q12,How does blockchain work?,"Blockchain works by maintaining a continuously growing list of records, called blocks [1][2]. Each block contains a cryptographic hash of the previous block, a timestamp, and transaction data [1][4]. ...",0.8500,1.0000,1.0000,1.0000,0.9625,1197.76,vector,True
q13,What process do plants use to convert light energy and what does it produce?,"According to the context, plants use the process of photosynthesis to convert light energy into chemical energy [1, 2]. This process produces carbohydrate molecules, such as sugars, and in most cases,...",1.0000,1.0000,1.0000,1.0000,1.0000,175.26,vector,True
q14,Which company provides cloud computing services and when was it launched?,"The company that provides cloud computing services is Amazon Web Services (AWS), which is a subsidiary of Amazon. According to [1], AWS was launched in 2006. This information is also consistent with t...",1.0000,1.0000,1.0000,1.0000,1.0000,1473.39,graph,True
q15,What is the largest structure made by living organisms and where is it?,"The largest structure made by living organisms is the Great Barrier Reef [1]. It is located in the Coral Sea, off the coast of Queensland, Australia [1]. Specifically, it stretches over an area of app...",1.0000,1.0000,1.0000,1.0000,1.0000,2174.50,graph,True
